1186	703	7
1093	631	5
1915	476	8
1456	626	4
1699	259	6
1311	291	1
1275	91	9
1907	426	8
1285	498	7
1370	440	7
1691	271	4
1641	248	5
1922	181	2
1662	940	9
1579	800	5
1031	278	8
1396	738	8
1884	100	9
1900	960	5
1874	280	3
1562	691	8
1522	533	5
1350	971	3
1402	995	8
1103	952	4
1909	667	1
1517	279	4
1726	299	8
1966	247	4
1205	182	3
1954	387	1
1895	442	5
1047	255	1
1595	100	3
1397	31	1
1964	186	9
1645	911	1
1727	776	1
1241	753	1
1948	241	1
1186	205	5
1858	849	8
1281	60	3
1463	174	6
1838	912	3
1694	757	3
1976	169	6
1493	129	5
1380	840	4
1150	799	3
1901	931	6
1440	174	2
1436	256	9
1781	898	4
1624	63	1
1820	463	4
1801	592	5
1409	131	4
1243	217	2
1841	77	2
